array length;array id;Sort type;start time;comparisons;swaps;end time;duration (milliseconds)
62500;30;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1189263;41741;Sat Sep 23 21:58:12 BRT 2023;3.0
62500;31;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917087;454937;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;31;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1172388;41631;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;32;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917177;454849;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;32;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1216002;41688;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;33;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917021;454835;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;33;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1232592;41675;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;34;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917196;455349;Sat Sep 23 21:58:12 BRT 2023;7.0
62500;34;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1171829;41730;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;35;MergeSort;Sat Sep 23 21:58:12 BRT 2023;916966;454985;Sat Sep 23 21:58:12 BRT 2023;8.0
62500;35;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1197197;41624;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;36;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917113;454851;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;36;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1209000;41694;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;37;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917326;454908;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;37;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1219127;41639;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;38;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917214;454991;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;38;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1199238;41558;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;39;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917055;454646;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;39;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1308898;41636;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;40;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917120;455055;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;40;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1158592;41712;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;41;MergeSort;Sat Sep 23 21:58:12 BRT 2023;916993;455196;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;41;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1218122;41767;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;42;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917176;454975;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;42;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1184290;41665;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;43;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917132;454989;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;43;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1322118;41698;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;44;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917017;454810;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;44;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1239591;41714;Sat Sep 23 21:58:12 BRT 2023;3.0
62500;45;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917002;454774;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;45;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1197380;41806;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;46;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917187;455064;Sat Sep 23 21:58:12 BRT 2023;6.0
